state,fips,year,pop
Colorado,8,2000,4326921
Colorado,8,2001,4425687
Colorado,8,2002,4490406
Colorado,8,2003,4528732
Colorado,8,2004,4575013
Colorado,8,2005,4631888
Colorado,8,2006,4720423
Colorado,8,2007,4803868
Colorado,8,2008,4889730
Colorado,8,2009,4972195
Colorado,8,2010,5048029
Colorado,8,2011,5116411
Colorado,8,2012,5186330
Colorado,8,2013,5262556
Colorado,8,2014,5342311
Colorado,8,2015,5440445
Colorado,8,2016,5530105
Colorado,8,2017,5607154
Connecticut,9,1971,3060938
Connecticut,9,1972,3068699
Connecticut,9,1973,3067814
Connecticut,9,1974,3074047
Connecticut,9,1975,3082500
Connecticut,9,1976,3083335
Connecticut,9,1977,3085722
Connecticut,9,1978,3091627
Connecticut,9,1979,3095917
Connecticut,9,1980,3111828
Connecticut,9,1981,3128836
Connecticut,9,1982,3139013
Connecticut,9,1983,3162354
Connecticut,9,1984,3180014
Connecticut,9,1985,3201131
Connecticut,9,1986,3223740
Connecticut,9,1987,3247291
Connecticut,9,1988,3271953
Connecticut,9,1989,3283403
Connecticut,9,1990,3289056
Connecticut,9,1991,3288640
Connecticut,9,1992,3274997
Connecticut,9,1993,3272325
Connecticut,9,1994,3268346
Connecticut,9,1995,3265293
Connecticut,9,1996,3267030
Connecticut,9,1997,3268514
Connecticut,9,1998,3272563
Connecticut,9,1999,3282031
Connecticut,9,2000,3411777
Connecticut,9,2001,3432835
Connecticut,9,2002,3458749
Connecticut,9,2003,3484336
Connecticut,9,2004,3496094
Connecticut,9,2005,3506956
Connecticut,9,2006,3517460
Connecticut,9,2007,3527270
Connecticut,9,2008,3545579
Connecticut,9,2009,3561807
Connecticut,9,2010,3580171
Connecticut,9,2011,3591927
Connecticut,9,2012,3597705
Connecticut,9,2013,3602470
Connecticut,9,2014,3600188
Connecticut,9,2015,3593862
Connecticut,9,2016,3587685
Connecticut,9,2017,3588184
Delaware,10,1971,564708
Delaware,10,1972,572913
Delaware,10,1973,577759
Delaware,10,1974,581418
Delaware,10,1975,586589
Delaware,10,1976,590166
Delaware,10,1977,591829
Delaware,10,1978,594776
Delaware,10,1979,594984
Delaware,10,1980,594665.4
Delaware,10,1981,595975
Delaware,10,1982,599148
Delaware,10,1983,605458
Delaware,10,1984,611565
Delaware,10,1985,618280
Delaware,10,1986,627559
Delaware,10,1987,636947
Delaware,10,1988,647622
Delaware,10,1989,658273
Delaware,10,1990,669063
Delaware,10,1991,680495
Delaware,10,1992,690158
Delaware,10,1993,699475
Delaware,10,1994,708416
Delaware,10,1995,718265
Delaware,10,1996,727090
Delaware,10,1997,735024
Delaware,10,1998,744066
Delaware,10,1999,753538
Delaware,10,2000,786373
Delaware,10,2001,795699
Delaware,10,2002,806169
Delaware,10,2003,818003
Delaware,10,2004,830803
Delaware,10,2005,845150
Delaware,10,2006,859268
Delaware,10,2007,871749
Delaware,10,2008,883874
Delaware,10,2009,891730
Delaware,10,2010,899712
Delaware,10,2011,907884
Delaware,10,2012,916868
Delaware,10,2013,925114
Delaware,10,2014,934805
Delaware,10,2015,944107
Delaware,10,2016,952698
Delaware,10,2017,961939
District of Columbia,11,1971,749781
District of Columbia,11,1972,742241
District of Columbia,11,1973,731488
District of Columbia,11,1974,717947
District of Columbia,11,1975,706871
District of Columbia,11,1976,692295
District of Columbia,11,1977,677228
District of Columbia,11,1978,665052
District of Columbia,11,1979,650016
District of Columbia,11,1980,638045
District of Columbia,11,1981,636893
District of Columbia,11,1982,634174
District of Columbia,11,1983,632433
District of Columbia,11,1984,633382
District of Columbia,11,1985,634549
District of Columbia,11,1986,638269
District of Columbia,11,1987,636930
District of Columbia,11,1988,630432
District of Columbia,11,1989,624168
District of Columbia,11,1990,603814
District of Columbia,11,1991,593239
District of Columbia,11,1992,584183
District of Columbia,11,1993,576358
District of Columbia,11,1994,564982
District of Columbia,11,1995,551273
District of Columbia,11,1996,538273
District of Columbia,11,1997,528752
District of Columbia,11,1998,521426
District of Columbia,11,1999,519000
District of Columbia,11,2000,572046
District of Columbia,11,2001,574504
District of Columbia,11,2002,573158
District of Columbia,11,2003,568502
District of Columbia,11,2004,567754
District of Columbia,11,2005,567136
District of Columbia,11,2006,570681
District of Columbia,11,2007,574404
District of Columbia,11,2008,580236
District of Columbia,11,2009,592228
District of Columbia,11,2010,605040
District of Columbia,11,2011,620336
District of Columbia,11,2012,635630
District of Columbia,11,2013,650114
District of Columbia,11,2014,660797
District of Columbia,11,2015,672736
District of Columbia,11,2016,684336
District of Columbia,11,2017,693972
Florida,12,1971,7158304
Florida,12,1972,7511463
Florida,12,1973,7913696
Florida,12,1974,8298762
Florida,12,1975,8518422
Florida,12,1976,8667379
Florida,12,1977,8856183
Florida,12,1978,9102032
Florida,12,1979,9426159
Florida,12,1980,9835614
Florida,12,1981,10192774
Florida,12,1982,10471407
Florida,12,1983,10749851
Florida,12,1984,11039925
Florida,12,1985,11351118
Florida,12,1986,11667505
Florida,12,1987,11997283
Florida,12,1988,12306395
Florida,12,1989,12637715
Florida,12,1990,13018365
Florida,12,1991,13289497
Florida,12,1992,13504775
Florida,12,1993,13713593
Florida,12,1994,13961798
Florida,12,1995,14185403
Florida,12,1996,14426911
Florida,12,1997,14683350
Florida,12,1998,14908230
Florida,12,1999,15111244
Florida,12,2000,16047515
Florida,12,2001,16356966
Florida,12,2002,16689370
Florida,12,2003,17004085
Florida,12,2004,17415318
Florida,12,2005,17842038
Florida,12,2006,18166990
Florida,12,2007,18367842
Florida,12,2008,18527305
Florida,12,2009,18652644
Florida,12,2010,18846461
Florida,12,2011,19097369
Florida,12,2012,19341327
Florida,12,2013,19584927
Florida,12,2014,19897747
Florida,12,2015,20268567
Florida,12,2016,20656589
Florida,12,2017,20984400
Georgia,13,1971,4711550
Georgia,13,1972,4809490
Georgia,13,1973,4910374
Georgia,13,1974,4999419
Georgia,13,1975,5064075
Georgia,13,1976,5132812
Georgia,13,1977,5219697
Georgia,13,1978,5295751
Georgia,13,1979,5401384
Georgia,13,1980,5484153
Georgia,13,1981,5568345
Georgia,13,1982,5649792
Georgia,13,1983,5728250
Georgia,13,1984,5834954
Georgia,13,1985,5962661
Georgia,13,1986,6084666
Georgia,13,1987,6208467
Georgia,13,1988,6316142
Georgia,13,1989,6411099
Georgia,13,1990,6506531
Georgia,13,1991,6621279
Georgia,13,1992,6759474
Georgia,13,1993,6894092
Georgia,13,1994,7045900
Georgia,13,1995,7188538
Georgia,13,1996,7332225
Georgia,13,1997,7486094
Georgia,13,1998,7636522
Georgia,13,1999,7788240
Georgia,13,2000,8227303
Georgia,13,2001,8377038
Georgia,13,2002,8508256
Georgia,13,2003,8622793
Georgia,13,2004,8769252
Georgia,13,2005,8925922
Georgia,13,2006,9155813
Georgia,13,2007,9349988
Georgia,13,2008,9504843
Georgia,13,2009,9620846
Georgia,13,2010,9712696
Georgia,13,2011,9810595
Georgia,13,2012,9911171
Georgia,13,2013,9981773
Georgia,13,2014,10083850
Georgia,13,2015,10199533
Georgia,13,2016,10313620
Georgia,13,2017,10429379
Hawaii,15,1971,801644
Hawaii,15,1972,828331
Hawaii,15,1973,851595
Hawaii,15,1974,867978
Hawaii,15,1975,886160
Hawaii,15,1976,904191
Hawaii,15,1977,918259
Hawaii,15,1978,931584
Hawaii,15,1979,953306
Hawaii,15,1980,967391.8
Hawaii,15,1981,978195
Hawaii,15,1982,993780
Hawaii,15,1983,1012717
Hawaii,15,1984,1027922
Hawaii,15,1985,1039698
Hawaii,15,1986,1051762
Hawaii,15,1987,1067918
Hawaii,15,1988,1079828
Hawaii,15,1989,1094588
Hawaii,15,1990,1112703
Hawaii,15,1991,1131412
Hawaii,15,1992,1149926
Hawaii,15,1993,1161508
Hawaii,15,1994,1173903
Hawaii,15,1995,1180490
Hawaii,15,1996,1184434
Hawaii,15,1997,1189322
Hawaii,15,1998,1190472
Hawaii,15,1999,1185497
Hawaii,15,2000,1213519
Hawaii,15,2001,1225948
Hawaii,15,2002,1239613
Hawaii,15,2003,1251154
Hawaii,15,2004,1273569
Hawaii,15,2005,1292729
Hawaii,15,2006,1309731
Hawaii,15,2007,1315675
Hawaii,15,2008,1332213
Hawaii,15,2009,1346717
Hawaii,15,2010,1363817
Hawaii,15,2011,1378323
Hawaii,15,2012,1392772
Hawaii,15,2013,1408038
Hawaii,15,2014,1417710
Hawaii,15,2015,1426320
Hawaii,15,2016,1428683
Hawaii,15,2017,1427538
Idaho,16,1971,738753
Idaho,16,1972,763237
Idaho,16,1973,782074
Idaho,16,1974,807990
Idaho,16,1975,831982
Idaho,16,1976,856983
Idaho,16,1977,883469
Idaho,16,1978,910690
Idaho,16,1979,932627
Idaho,16,1980,947588.8
Idaho,16,1981,962204
Idaho,16,1982,973721
Idaho,16,1983,981869
Idaho,16,1984,990839
Idaho,16,1985,994051
Idaho,16,1986,990224
Idaho,16,1987,984997
Idaho,16,1988,985664
Idaho,16,1989,994416
Idaho,16,1990,1011882
Idaho,16,1991,1038915
Idaho,16,1992,1066490
Idaho,16,1993,1101204
Idaho,16,1994,1135459
Idaho,16,1995,1165000
Idaho,16,1996,1187706
Idaho,16,1997,1210638
Idaho,16,1998,1230923
Idaho,16,1999,1251700
Idaho,16,2000,1299430
Idaho,16,2001,1319962
Idaho,16,2002,1340372
Idaho,16,2003,1363380
Idaho,16,2004,1391802
Idaho,16,2005,1428241
Idaho,16,2006,1468669
Idaho,16,2007,1505105
Idaho,16,2008,1534320
Idaho,16,2009,1554439
Idaho,16,2010,1570912
Idaho,16,2011,1583180
Idaho,16,2012,1594673
Idaho,16,2013,1610187
Idaho,16,2014,1630391
Idaho,16,2015,1649324
Idaho,16,2016,1680026
Idaho,16,2017,1716943
Illinois,17,1971,11202397
Illinois,17,1972,11251948
Illinois,17,1973,11251367
Illinois,17,1974,11262145
Illinois,17,1975,11291743
Illinois,17,1976,11342853
Illinois,17,1977,11386316
Illinois,17,1978,11412561
Illinois,17,1979,11396837
Illinois,17,1980,11429906
Illinois,17,1981,11443458
Illinois,17,1982,11423412
Illinois,17,1983,11408818
Illinois,17,1984,11412132
Illinois,17,1985,11399806
Illinois,17,1986,11387257
Illinois,17,1987,11391178
Illinois,17,1988,11390183
Illinois,17,1989,11409782
Illinois,17,1990,11446979
Illinois,17,1991,11535973
Illinois,17,1992,11635197
Illinois,17,1993,11725984
Illinois,17,1994,11804986
Illinois,17,1995,11884935
Illinois,17,1996,11953003
Illinois,17,1997,12011509
Illinois,17,1998,12069774
Illinois,17,1999,12128370
Illinois,17,2000,12434161
Illinois,17,2001,12488445
Illinois,17,2002,12525556
Illinois,17,2003,12556006
Illinois,17,2004,12589773
Illinois,17,2005,12609903
Illinois,17,2006,12643955
Illinois,17,2007,12695866
Illinois,17,2008,12747038
Illinois,17,2009,12796778
Illinois,17,2010,12841196
Illinois,17,2011,12862298
Illinois,17,2012,12878494
Illinois,17,2013,12890403
Illinois,17,2014,12882438
Illinois,17,2015,12862051
Illinois,17,2016,12835726
Illinois,17,2017,12802023
Indiana,18,1971,5253396
Indiana,18,1972,5302435
Indiana,18,1973,5338277
Indiana,18,1974,5361890
Indiana,18,1975,5365766
Indiana,18,1976,5389088
Indiana,18,1977,5425638
Indiana,18,1978,5470214
Indiana,18,1979,5501174
Indiana,18,1980,5488266.2
Indiana,18,1981,5480435
Indiana,18,1982,5467922
Indiana,18,1983,5450395
Indiana,18,1984,5458322
Indiana,18,1985,5459211
Indiana,18,1986,5454108
Indiana,18,1987,5473012
Indiana,18,1988,5491735
Indiana,18,1989,5523693
Indiana,18,1990,5555097
Indiana,18,1991,5602062
Indiana,18,1992,5648649
Indiana,18,1993,5701965
Indiana,18,1994,5745626
Indiana,18,1995,5791819
Indiana,18,1996,5834908
Indiana,18,1997,5872370
Indiana,18,1998,5907617
Indiana,18,1999,5942901
Indiana,18,2000,6091866
Indiana,18,2001,6127760
Indiana,18,2002,6155967
Indiana,18,2003,6196638
Indiana,18,2004,6233007
Indiana,18,2005,6278616
Indiana,18,2006,6332669
Indiana,18,2007,6379599
Indiana,18,2008,6424806
Indiana,18,2009,6459325
Indiana,18,2010,6490029
Indiana,18,2011,6515358
Indiana,18,2012,6535665
Indiana,18,2013,6567484
Indiana,18,2014,6593182
Indiana,18,2015,6610596
Indiana,18,2016,6634007
Indiana,18,2017,6666818
Iowa,19,1971,2851705
Iowa,19,1972,2860287
Iowa,19,1973,2863715
Iowa,19,1974,2867530
Iowa,19,1975,2880847
Iowa,19,1976,2903082
Iowa,19,1977,2913573
Iowa,19,1978,2918069
Iowa,19,1979,2915739
Iowa,19,1980,2912643
Iowa,19,1981,2907983
Iowa,19,1982,2888189
Iowa,19,1983,2870543
Iowa,19,1984,2858618
Iowa,19,1985,2829684
Iowa,19,1986,2791970
Iowa,19,1987,2767011
Iowa,19,1988,2768388
Iowa,19,1989,2770592
Iowa,19,1990,2779769
Iowa,19,1991,2791227
Iowa,19,1992,2806923
Iowa,19,1993,2820525
Iowa,19,1994,2829422
Iowa,19,1995,2840860
Iowa,19,1996,2848473
Iowa,19,1997,2854396
Iowa,19,1998,2861025
Iowa,19,1999,2869413
Iowa,19,2000,2929067
Iowa,19,2001,2931997
Iowa,19,2002,2934234
Iowa,19,2003,2941999
Iowa,19,2004,2953635
Iowa,19,2005,2964454
Iowa,19,2006,2982644
Iowa,19,2007,2999212
Iowa,19,2008,3016734
Iowa,19,2009,3032870
Iowa,19,2010,3050223
Iowa,19,2011,3063690
Iowa,19,2012,3074386
Iowa,19,2013,3089876
Iowa,19,2014,3105563
Iowa,19,2015,3118473
Iowa,19,2016,3130869
Iowa,19,2017,3145711
Kansas,20,1971,2246600
Kansas,20,1972,2256375
Kansas,20,1973,2265603
Kansas,20,1974,2269499
Kansas,20,1975,2280578
Kansas,20,1976,2301001
Kansas,20,1977,2320647
Kansas,20,1978,2335657
Kansas,20,1979,2350906
Kansas,20,1980,2367913
Kansas,20,1981,2384849
Kansas,20,1982,2401202
Kansas,20,1983,2415531
Kansas,20,1984,2424086
Kansas,20,1985,2427405
Kansas,20,1986,2432619
Kansas,20,1987,2445367
Kansas,20,1988,2461996
Kansas,20,1989,2472849
Kansas,20,1990,2480683
Kansas,20,1991,2495209
Kansas,20,1992,2526042
Kansas,20,1993,2547605
Kansas,20,1994,2569118
Kansas,20,1995,2586942
Kansas,20,1996,2598266
Kansas,20,1997,2616339
Kansas,20,1998,2638667
Kansas,20,1999,2654052
Kansas,20,2000,2693681
Kansas,20,2001,2702162
Kansas,20,2002,2713535
Kansas,20,2003,2723004
Kansas,20,2004,2734373
Kansas,20,2005,2745299
Kansas,20,2006,2762931
Kansas,20,2007,2783785
Kansas,20,2008,2808076
Kansas,20,2009,2832704
Kansas,20,2010,2858403
Kansas,20,2011,2868756
Kansas,20,2012,2885316
Kansas,20,2013,2892900
Kansas,20,2014,2899553
Kansas,20,2015,2905789
Kansas,20,2016,2907731
Kansas,20,2017,2913123
Kentucky,21,1971,3298053
Kentucky,21,1972,3335728
Kentucky,21,1973,3371024
Kentucky,21,1974,3416315
Kentucky,21,1975,3467769
Kentucky,21,1976,3529257
Kentucky,21,1977,3573693
Kentucky,21,1978,3609976
Kentucky,21,1979,3641804
Kentucky,21,1980,3662700.4
Kentucky,21,1981,3670394
Kentucky,21,1982,3683445
Kentucky,21,1983,3694484
Kentucky,21,1984,3695453
Kentucky,21,1985,3694826
Kentucky,21,1986,3687809
Kentucky,21,1987,3683329
Kentucky,21,1988,3679999
Kentucky,21,1989,3677306
Kentucky,21,1990,3692584
Kentucky,21,1991,3714686
Kentucky,21,1992,3756358
Kentucky,21,1993,3792288
Kentucky,21,1994,3823215
Kentucky,21,1995,3855248
Kentucky,21,1996,3881051
Kentucky,21,1997,3907816
Kentucky,21,1998,3934310
Kentucky,21,1999,3960825
Kentucky,21,2000,4049021
Kentucky,21,2001,4068132
Kentucky,21,2002,4089875
Kentucky,21,2003,4117170
Kentucky,21,2004,4146101
Kentucky,21,2005,4182742
Kentucky,21,2006,4219239
Kentucky,21,2007,4256672
Kentucky,21,2008,4289878
Kentucky,21,2009,4317074
Kentucky,21,2010,4347948
Kentucky,21,2011,4368505
Kentucky,21,2012,4383673
Kentucky,21,2013,4399121
Kentucky,21,2014,4410415
Kentucky,21,2015,4422057
Kentucky,21,2016,4436113
Kentucky,21,2017,4454189
Louisiana,22,1971,3710487
Louisiana,22,1972,3761646
Louisiana,22,1973,3788375
Louisiana,22,1974,3820109
Louisiana,22,1975,3886104
Louisiana,22,1976,3950605
Louisiana,22,1977,4014459
Louisiana,22,1978,4068579
Louisiana,22,1979,4137665
Louisiana,22,1980,4221380.6
Louisiana,22,1981,4283303
Louisiana,22,1982,4352608
Louisiana,22,1983,4395316
Louisiana,22,1984,4400477
Louisiana,22,1985,4408118
Louisiana,22,1986,4406919
Louisiana,22,1987,4344148
Louisiana,22,1988,4288863
Louisiana,22,1989,4252894
Louisiana,22,1990,4219179
Louisiana,22,1991,4240950
Louisiana,22,1992,4270849
Louisiana,22,1993,4284749
Louisiana,22,1994,4306500
Louisiana,22,1995,4327978
Louisiana,22,1996,4338763
Louisiana,22,1997,4351390
Louisiana,22,1998,4362758
Louisiana,22,1999,4372035
Louisiana,22,2000,4471885
Louisiana,22,2001,4477875
Louisiana,22,2002,4497267
Louisiana,22,2003,4521042
Louisiana,22,2004,4552238
Louisiana,22,2005,4576628
Louisiana,22,2006,4302665
Louisiana,22,2007,4375581
Louisiana,22,2008,4435586
Louisiana,22,2009,4491648
Louisiana,22,2010,4544871
Louisiana,22,2011,4574388
Louisiana,22,2012,4602681
Louisiana,22,2013,4626795
Louisiana,22,2014,4648797
Louisiana,22,2015,4671211
Louisiana,22,2016,4686157
Louisiana,22,2017,4684333
Maine,23,1971,1015390
Maine,23,1972,1034292
Maine,23,1973,1045655
Maine,23,1974,1059040
Maine,23,1975,1071995
Maine,23,1976,1088412
Maine,23,1977,1103578
Maine,23,1978,1113566
Maine,23,1979,1122563
Maine,23,1980,1126334.6
Maine,23,1981,1133033
Maine,23,1982,1136684
Maine,23,1983,1144772
Maine,23,1984,1155635
Maine,23,1985,1162936
Maine,23,1986,1170126
Maine,23,1987,1184574
Maine,23,1988,1203840
Maine,23,1989,1219961
Maine,23,1990,1231296
Maine,23,1991,1235439
Maine,23,1992,1235748
Maine,23,1993,1238256
Maine,23,1994,1237687
Maine,23,1995,1237438
Maine,23,1996,1241436
Maine,23,1997,1245215
Maine,23,1998,1247554
Maine,23,1999,1253040
Maine,23,2000,1277072
Maine,23,2001,1285692
Maine,23,2002,1295960
Maine,23,2003,1306513
Maine,23,2004,1313688
Maine,23,2005,1318787
Maine,23,2006,1323619
Maine,23,2007,1327040
Maine,23,2008,1330509
Maine,23,2009,1329590
Maine,23,2010,1327568
Maine,23,2011,1327968
Maine,23,2012,1328101
Maine,23,2013,1327975
Maine,23,2014,1328903
Maine,23,2015,1327787
Maine,23,2016,1330232
Maine,23,2017,1335907
Maryland,24,1971,4018324
Maryland,24,1972,4073499
Maryland,24,1973,4097974
Maryland,24,1974,4118815
Maryland,24,1975,4139096
Maryland,24,1976,4150539
Maryland,24,1977,4169595
Maryland,24,1978,4183603
Maryland,24,1979,4191160
Maryland,24,1980,4225961
Maryland,24,1981,4261905
Maryland,24,1982,4282923
Maryland,24,1983,4313327
Maryland,24,1984,4365243
Maryland,24,1985,4413071
Maryland,24,1986,4486957
Maryland,24,1987,4565557
Maryland,24,1988,4657904
Maryland,24,1989,4727301
Maryland,24,1990,4797431
Maryland,24,1991,4856176
Maryland,24,1992,4902545
Maryland,24,1993,4942504
Maryland,24,1994,4985411
Maryland,24,1995,5023650
Maryland,24,1996,5057142
Maryland,24,1997,5092914
Maryland,24,1998,5130072
Maryland,24,1999,5171634
Maryland,24,2000,5311034
Maryland,24,2001,5374691
Maryland,24,2002,5440389
Maryland,24,2003,5496269
Maryland,24,2004,5546935
Maryland,24,2005,5592379
Maryland,24,2006,5627367
Maryland,24,2007,5653408
Maryland,24,2008,5684965
Maryland,24,2009,5730388
Maryland,24,2010,5788099
Maryland,24,2011,5843115
Maryland,24,2012,5891680
Maryland,24,2013,5932654
Maryland,24,2014,5970245
Maryland,24,2015,6000561
Maryland,24,2016,6024752
Maryland,24,2017,6052177
Massachusetts,25,1971,5737580
Massachusetts,25,1972,5760302
Massachusetts,25,1973,5781172
Massachusetts,25,1974,5773548
Massachusetts,25,1975,5757756
Massachusetts,25,1976,5743672
Massachusetts,25,1977,5738199
Massachusetts,25,1978,5736469
Massachusetts,25,1979,5738404
Massachusetts,25,1980,5743366.6
Massachusetts,25,1981,5768685
Massachusetts,25,1982,5771222
Massachusetts,25,1983,5799407
